Rec,Inf,Name,xG,Tck,DrbPG,Mins,Av Rat,Gls,Pens S,Pens,Cr C/A,Hdr %,Pas %,Shot %,Ps C,ShT,Cr C,Cr A,K Ps/90,K Tck,K Hdrs,ShT/90,Asts/90,Ps C/90,Ps A/90,Tck A,Hdrs W/90,Shot/90,Tck W,Distance,Int/90,Tck R,Off,Aer A/90,Shots,CCC,Ch C/90,Gl Mst,Fls,Division,Age
- - -,Ama,Marko Moravčić,0.00,0.80,-,"3,615",6.33,7,0,0,0%,-,56%,39%,470,36,0,0,-,0,0,0.90,0.07,11.70,20.91,-,-,2.32,32,0.0km,-,68%,0,-,93,0,-,0,44,Croatian Regional League - Zadar (13),38
- - -,,Dragan Vuković,0.00,1.05,-,"3,510",6.62,12,0,0,0%,-,59%,49%,457,53,0,0,-,0,0,1.36,0.18,11.72,20.00,-,-,2.77,41,0.0km,-,47%,0,-,108,0,-,0,27,Serbian Zone League,37
- - -,,Stevo Nikolić,6.84,0.95,-,"3,133",7.07,6,2,3,30%,36%,69%,29%,879,14,27,89,1.72,8,4,0.40,0.17,25.25,36.45,-,1.24,1.41,33,222.4km,1.81,65%,67,3.39,49,8,0.48,0,38,Serbian Second League Belgrade,36
- - -,Ama,Milenko Simeunović,0.00,0.72,-,"3,510",6.40,6,0,0,0%,-,59%,41%,461,46,0,0,-,0,0,1.18,0.10,11.82,20.00,-,-,2.87,28,0.0km,-,64%,0,-,112,0,-,0,54,Serbian Zone League,38
- - -,Ama,Marko Stevanović,0.00,0.59,-,"3,510",6.12,9,1,1,0%,-,56%,40%,437,43,0,0,-,0,0,1.10,0.08,11.21,20.00,-,-,2.77,23,0.0km,-,68%,0,-,108,0,-,0,37,Serbian Lower League,37
- - -,,Stevan Živković,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Serbian Second League West,26
- - -,,Nemanja Lapčević,6.57,0.56,0.95,"3,870",7.26,13,1,1,34%,29%,69%,52%,"1,158",34,39,112,1.93,6,5,0.79,0.30,26.93,39.00,-,1.02,1.53,24,276.8km,1.07,71%,115,3.53,66,19,0.64,0,27,Serbian Second League East,24
- - -,,Borko Veselinović,0.03,0.99,0.03,"3,468",6.64,10,0,0,30%,33%,61%,47%,487,48,3,10,0.05,1,0,1.25,0.13,12.64,20.74,-,0.10,2.67,38,17.0km,0.03,64%,2,0.31,103,0,-,0,31,Serbian Second League Belgrade,35
- - -,,Dragan Milovanović,3.38,1.92,-,795,6.92,7,0,0,12%,55%,68%,68%,191,19,2,16,0.34,0,0,2.15,-,21.62,31.70,-,1.92,3.17,17,44.8km,1.92,68%,16,3.51,28,4,0.45,0,7,Serbian Second League Belgrade,35
- - -,,Aleksandar Stojković,13.99,0.82,-,"3,835",6.98,14,0,0,38%,53%,72%,48%,"1,094",38,41,106,1.60,11,15,0.89,0.07,25.67,35.72,-,2.46,1.85,35,266.1km,1.99,57%,67,4.62,79,4,0.28,0,47,Serbian Second League East,33
- - -,Inj,Igor Pavlović,0.00,0.90,-,"3,510",7.02,24,1,1,0%,-,60%,45%,466,53,0,0,-,0,0,1.36,0.10,11.95,20.00,-,-,3.03,35,0.0km,-,65%,0,-,118,0,-,0,44,Serbian Zone League,34
- - -,,Dejan Tarabić,0.00,1.05,-,"3,510",6.96,12,0,0,0%,-,59%,45%,462,47,0,0,-,0,0,1.21,0.10,11.85,20.00,-,-,2.69,41,0.0km,-,66%,0,-,105,0,-,0,52,Serbian Zone League,34
- - -,,Vladimir Vujović,9.27,1.16,0.42,"3,186",7.11,7,1,1,30%,28%,69%,39%,924,33,37,123,1.47,2,3,0.93,0.31,26.10,37.66,-,1.02,2.37,41,221.0km,0.82,66%,72,3.64,84,16,0.91,0,20,Serbian Second League East,35
- - -,,Žarko Dimić,3.50,1.52,-,"1,712",6.78,6,0,0,33%,42%,66%,49%,401,18,16,48,1.00,1,2,0.95,0.16,21.08,31.96,-,1.37,1.95,29,107.3km,1.10,66%,32,3.26,37,2,0.47,0,24,Serbian Second League East,41
- - -,Lst,Bojan Đokić,0.00,5.90,-,61,6.60,0,0,0,0%,-,53%,-,8,-,0,0,-,0,0,-,-,-,-,-,-,-,4,3.7km,-,57%,1,-,0,0,-,0,2,Serbian First League,47
- - -,,Nebojša Arbutina,8.09,0.93,0.27,"3,282",7.06,10,2,2,38%,47%,69%,44%,785,35,30,78,1.26,8,13,0.96,0.05,21.53,31.29,-,1.73,2.19,34,178.6km,0.96,65%,29,3.67,80,3,0.20,0,28,Serbian Second League Vojvodina,38
- - -,Lst,Jovan Jovanović,3.20,1.24,0.07,"1,229",7.12,6,2,2,37%,53%,68%,46%,286,19,12,32,1.61,1,5,1.39,0.15,20.94,30.83,-,2.34,3.00,17,81.4km,0.95,57%,22,4.39,41,2,0.15,0,12,Serbian First League,35
- - -,,Marko Pavićević,2.66,2.25,0.30,601,6.91,4,1,1,16%,65%,66%,42%,127,8,3,18,0.45,0,1,1.20,-,19.02,28.60,-,2.25,2.85,15,43.0km,1.50,54%,13,3.44,19,0,-,0,13,Serbian First League,34
- - -,,Nikola Komazec,3.94,1.36,0.21,"1,722",7.03,6,0,0,39%,53%,67%,47%,408,14,22,56,1.10,2,1,0.73,0.16,21.32,31.88,-,2.04,1.57,26,132.9km,1.78,59%,35,3.87,30,6,0.32,0,12,Slovak Second Division,33
- - -,,Marjan Ćirić,0.00,0.79,-,"3,510",6.83,17,0,0,0%,-,60%,43%,466,43,0,0,-,0,0,1.10,0.13,11.95,20.00,-,-,2.56,31,0.0km,-,55%,0,-,100,0,-,0,58,Serbian Zone League,35
- - -,,Milan Lazarević,3.16,1.94,-,"1,301",6.62,6,0,0,25%,70%,71%,44%,401,17,7,28,0.83,0,1,1.18,0.14,27.74,39.29,-,2.28,2.70,28,72.9km,1.59,68%,23,3.25,39,6,1.07,0,20,Serbian Second League East,38
- - -,,Stefan Stojanović,8.87,0.80,0.57,"3,806",7.27,11,0,0,31%,38%,71%,40%,"1,297",31,39,122,2.03,9,7,0.73,0.21,30.67,43.49,-,1.21,1.82,34,259.3km,1.89,68%,103,3.17,77,20,1.17,0,44,Serbian Second League East,33
- - -,,Milorad Resanović,0.00,0.81,-,"3,464",7.21,17,0,0,0%,-,59%,50%,461,56,0,0,-,0,0,1.45,0.10,11.98,20.27,-,-,2.88,31,0.0km,-,54%,0,-,111,0,-,0,55,Serbian Zone League,34
- - -,,Marko Zečević,12.49,1.15,0.43,"2,742",6.87,9,1,1,33%,55%,68%,49%,663,48,23,68,1.15,3,5,1.58,0.07,21.76,31.90,-,1.77,3.22,35,165.8km,2.10,67%,44,3.25,98,5,0.21,0,33,Serbian Second League Vojvodina,30
- - -,,Vladimir Đilas,12.47,0.97,-,"3,417",7.56,19,0,0,36%,63%,68%,49%,818,50,47,130,1.79,13,14,1.32,0.16,21.55,31.71,-,3.16,2.69,37,258.4km,3.27,63%,61,5.03,102,13,0.68,0,60,Serbian Second League Belgrade,38
- - -,,Nemanja Jovanović,0.00,0.94,-,"3,432",6.67,13,1,1,0%,-,58%,47%,452,56,0,0,-,0,0,1.47,0.10,11.85,20.45,-,-,3.15,36,0.0km,-,58%,0,-,120,0,-,0,43,Serbian Zone League,37
- - -,,Filip Simić,0.00,1.00,-,"3,870",6.72,9,0,0,0%,-,58%,45%,495,47,0,0,-,0,0,1.09,0.21,11.51,20.00,-,-,2.44,43,0.0km,-,65%,0,-,105,0,-,0,70,Serbian Second League West,34
- - -,,Milan Bojović,0.61,2.69,-,402,6.70,2,0,0,23%,59%,69%,53%,111,8,3,13,-,0,0,1.79,-,24.85,35.82,-,2.24,3.36,12,27.0km,1.79,71%,10,3.81,15,1,0.26,0,8,Serbian SuperLeague,34
- - -,,Lazar Veselinović,0.00,0.92,-,"3,510",6.82,20,0,0,0%,-,60%,47%,469,72,0,0,-,0,0,1.85,0.03,12.03,20.00,-,-,3.90,36,0.0km,-,62%,0,-,152,0,-,0,37,Serbian Zone League,34
- - -,,Darko Isidorović,5.91,2.93,-,"1,351",6.75,8,0,1,15%,55%,72%,48%,405,25,4,26,0.87,0,1,1.67,0.27,26.98,37.24,-,2.26,3.46,44,85.5km,1.87,64%,26,4.13,52,6,0.49,0,20,Serbian Second League West,34
- - -,,Danilo Belić,0.23,0.72,-,"3,480",6.10,12,0,0,0%,67%,59%,46%,463,48,0,1,0.03,0,0,1.24,-,11.97,20.33,-,0.05,2.69,28,4.2km,0.03,70%,1,0.08,104,0,-,0,66,Serbian Second League Vojvodina,40
- - -,,Miloš Reljić,10.07,1.17,0.57,"3,449",7.11,10,3,4,33%,34%,69%,41%,985,31,34,102,1.54,6,0,0.81,0.10,25.70,37.29,-,1.23,1.98,45,268.4km,1.83,68%,101,3.60,76,6,0.20,0,50,Serbian Second League West,31
- - -,Wnt,Kosta Bajić,0.00,0.95,-,"3,510",7.41,16,0,0,0%,-,59%,50%,458,56,0,0,-,0,0,1.44,0.21,11.74,20.00,-,-,2.85,37,0.0km,-,59%,0,-,111,0,-,0,40,Federation of BiH First League,31
- - -,,Stefan Joković,10.16,1.36,0.15,"3,048",7.16,20,4,5,33%,51%,66%,53%,685,48,27,81,1.15,0,0,1.42,0.18,20.23,30.62,-,2.16,2.69,46,197.7km,0.65,64%,57,4.22,91,10,0.48,0,24,Serbian Second League East,32
- - -,,Igor Grkajac,2.56,2.76,-,"1,107",6.67,2,0,1,13%,39%,68%,42%,263,11,3,22,0.57,0,0,0.89,0.16,21.38,31.22,-,1.38,2.11,34,66.8km,2.52,69%,17,3.58,26,0,-,0,18,Serbian Second League West,34
- - -,,Ivica Jovanović,4.84,0.85,0.89,"2,233",7.43,9,0,0,37%,40%,68%,44%,612,23,28,75,2.02,7,2,0.93,0.04,24.67,36.44,-,1.45,2.10,21,167.3km,1.85,70%,62,3.63,52,9,1.35,0,21,Serbian Second League Belgrade,33
- - -,Inj,Gradimir Grujičić,15.71,0.62,0.87,"3,621",7.44,16,3,4,33%,51%,67%,46%,736,51,30,90,1.99,5,11,1.27,0.12,18.29,27.22,-,2.16,2.73,25,264.3km,1.44,61%,72,4.20,110,9,0.39,0,36,Serbian Second League West,31
- - -,,Vojo Ubiparip,0.00,0.93,-,"3,780",6.73,19,0,0,0%,-,57%,46%,481,56,0,0,-,0,0,1.33,0.12,11.45,20.00,-,-,2.90,39,0.0km,-,65%,0,-,122,0,-,0,32,Bosnian Premier League,33
- - -,,Igor Ležaić,12.96,1.35,0.35,"2,595",6.92,16,0,0,30%,58%,66%,50%,549,52,20,65,1.11,4,2,1.80,0.14,19.04,29.03,-,2.57,3.64,39,167.6km,1.53,59%,32,4.44,105,4,0.16,0,39,Serbian Second League Vojvodina,33
- - -,,Nikola Stefanović,0.00,1.53,-,"3,870",7.38,24,0,0,33%,33%,61%,46%,534,55,1,3,0.02,0,1,1.28,0.23,12.42,20.35,-,0.02,2.77,66,7.9km,0.02,67%,1,0.07,119,0,-,0,46,Serbian Second League East,30
- - -,,Nemanja Kojić,0.00,1.15,-,"2,356",7.57,15,0,0,0%,-,62%,53%,333,43,0,0,-,0,0,1.64,0.11,12.72,20.63,-,-,3.09,30,0.0km,-,67%,0,-,81,0,-,0,37,Albanian Superleague,31
- - -,,Jovan Jovanović,6.29,2.08,-,"1,691",6.90,10,0,1,26%,47%,70%,36%,454,16,12,46,0.80,0,1,0.85,0.11,24.16,34.38,-,1.86,2.40,39,115.3km,2.02,62%,24,3.99,45,10,1.46,0,34,Serbian Second League East,22
- - -,,Milan Milošević,0.00,0.77,-,"3,870",6.56,7,0,0,0%,-,58%,43%,496,63,0,0,-,0,0,1.47,0.09,11.53,20.00,-,-,3.44,33,0.0km,-,69%,0,-,148,0,-,0,36,Serbian Second League East,34
- - -,,Nenad Simić,6.76,1.84,-,"2,057",6.90,8,1,1,35%,49%,64%,49%,382,25,20,57,0.92,2,1,1.09,0.04,16.71,26.12,-,1.93,2.23,42,118.7km,1.09,59%,22,3.94,51,1,0.06,0,15,Serbian Second League East,36
- - -,,Dmitriy Leshanyuk,0.00,0.57,-,630,6.53,2,0,0,0%,-,56%,39%,78,7,0,0,-,0,0,1.00,-,11.14,20.00,-,-,2.57,4,0.0km,-,80%,0,-,18,0,-,0,13,Belarusian Lower League,40
- - -,Lst,Dmitriy Osipenko,0.00,-,-,49,6.60,0,0,0,0%,100%,65%,0%,11,0,0,1,-,0,0,-,-,-,-,-,-,-,-,2.9km,-,-,0,-,1,0,-,0,0,Belarusian Highest League,38
- - -,,Leonid Kovel,1.15,3.75,-,48,7.00,1,0,0,0%,0%,65%,100%,13,3,0,0,-,0,0,-,-,-,-,-,-,-,2,4.0km,-,40%,2,-,3,0,-,0,1,Belarusian First League,34
- - -,,Ruslan Shukelovich,0.00,0.25,-,720,5.71,0,0,0,0%,-,54%,37%,87,7,0,0,-,0,0,0.88,0.25,10.88,20.00,-,-,2.38,2,0.0km,-,100%,0,-,19,0,-,0,10,Belarusian Second League,34
- - -,,Vladislav Zlatinov,2.29,2.25,-,719,6.90,3,1,1,32%,31%,76%,47%,249,8,9,28,0.88,0,1,1.00,-,31.17,40.93,-,1.25,2.13,18,43.2km,1.50,55%,13,4.01,17,4,1.68,0,10,Bulgarian Second League,38
- - -,Lst,Georgi Bozhilov,3.50,2.66,-,846,6.82,1,0,0,32%,32%,77%,25%,334,7,10,31,1.28,0,0,0.74,0.11,35.53,46.28,-,0.74,2.98,25,58.0km,1.38,68%,21,2.34,28,6,2.99,0,12,Bulgarian First League,34
- - -,Ama,Georgi Andonov,2.33,1.48,-,"3,044",6.86,3,1,1,30%,38%,71%,36%,837,9,38,125,0.98,1,2,0.27,0.24,24.75,35.07,-,1.60,0.74,50,190.6km,2.84,66%,20,4.17,25,20,1.06,0,43,Bulgarian Third League South-East,37
- - -,,Deyan Hristov,3.85,4.10,-,614,6.86,5,1,1,11%,76%,67%,43%,146,13,2,18,0.59,0,1,1.91,-,21.40,32.10,-,2.79,4.40,28,46.8km,1.47,61%,11,3.66,30,2,0.34,0,12,Bulgarian Second League,38
- - -,Ama,Borislav Hazurov,9.60,1.04,0.18,"3,032",6.98,11,2,3,32%,53%,68%,51%,801,37,28,86,1.42,3,2,1.10,0.21,23.78,34.79,-,1.63,2.14,35,210.0km,0.98,48%,71,3.06,72,8,0.51,0,20,Bulgarian Third League South-West,35
- - -,Ama,Ivan Stoyanov,6.20,0.60,0.02,"3,746",7.10,0,0,0,38%,32%,70%,25%,"1,155",14,60,155,2.45,6,4,0.34,0.14,27.75,39.71,-,0.72,1.35,25,213.9km,0.99,56%,80,2.28,56,20,1.25,0,52,Bulgarian Third League South-East,37
- - -,Ama,Yavor Vandev,0.00,0.86,-,"3,257",6.21,8,0,0,0%,-,56%,42%,414,44,0,0,-,0,0,1.22,0.06,11.44,20.45,-,-,2.93,31,0.0km,-,53%,0,-,106,0,-,0,43,Bulgarian 'A' Regional Groups,37
- - -,,Vladimir Michev,0.15,1.54,-,"1,757",6.82,0,0,0,32%,58%,72%,0%,458,0,19,58,1.59,4,4,0.00,0.20,23.46,32.53,-,1.54,0.26,30,128.8km,2.82,71%,2,2.66,5,1,0.06,0,13,Bulgarian Second League,35
- - -,Ama,Ivan Redovski,10.13,1.26,-,"2,931",6.84,15,1,2,28%,73%,73%,52%,772,46,15,53,1.20,8,7,1.41,0.12,23.71,32.55,-,4.42,2.73,41,197.8km,2.79,66%,22,6.05,89,1,0.04,0,36,Bulgarian Third League South-West,39
- - -,Ama,Dimitar Makriev,12.93,1.49,-,"2,419",7.35,18,3,4,27%,62%,72%,50%,800,43,11,40,1.56,1,3,1.60,0.15,29.76,41.45,-,3.57,3.20,40,155.2km,1.79,60%,28,5.77,86,8,0.32,0,15,Bulgarian Third League South-West,37
- - -,Ama,Georgi Kakalov,0.00,0.91,-,"3,262",6.60,12,0,0,0%,-,57%,39%,422,39,0,0,-,0,0,1.08,0.14,11.64,20.42,-,-,2.76,33,0.0km,-,87%,0,-,100,0,-,0,57,Bulgarian 'A' Regional Groups,36
- - -,Ama,Tihomir Kanev,0.00,0.79,-,"3,780",6.72,15,0,0,0%,-,57%,48%,478,57,0,0,-,0,0,1.36,0.21,11.38,20.00,-,-,2.81,33,0.0km,-,56%,0,-,118,0,-,0,40,Bulgarian Third League North-East,35
- - -,Inj,Mladen Mladenov,0.00,0.49,-,"3,150",5.14,1,0,0,0%,-,55%,30%,386,28,0,0,-,0,0,0.80,-,11.03,20.00,-,-,2.69,17,0.0km,-,65%,0,-,94,0,-,0,38,Bulgarian Third League North-West,36
- - -,Ama,Petar Kolev,5.09,1.80,0.18,"2,051",6.75,8,0,0,25%,53%,67%,35%,478,18,14,54,1.14,2,2,0.79,0.09,20.98,31.42,-,1.36,2.24,41,137.0km,2.06,56%,40,2.55,51,3,0.15,0,33,Bulgarian Third League South-East,35
- - -,Ama,Enyo Krastovchev,6.19,0.40,-,"3,603",7.10,10,1,1,37%,58%,72%,47%,"1,041",27,34,91,1.72,3,11,0.67,0.15,26.00,36.17,-,2.50,1.45,16,227.3km,1.40,53%,44,4.30,58,9,0.39,0,3,Bulgarian Third League South-West,37
- - -,Ama,Nikola Vasilev,0.00,0.71,-,"3,675",5.86,5,0,0,0%,-,54%,38%,457,30,0,0,-,0,0,0.73,0.05,11.19,20.57,-,-,1.93,29,0.0km,-,57%,0,-,79,0,-,0,28,Bulgarian Third League North-East,35
- - -,,Veselin Stoykov,3.36,0.90,0.61,"2,203",6.62,3,1,1,15%,40%,64%,36%,407,8,4,26,1.84,5,4,0.33,0.04,16.63,26.02,-,0.98,0.90,22,160.5km,0.82,55%,36,2.45,22,3,0.12,0,31,Bulgarian 'A' Regional Groups,34
- - -,Ama,Boris Kondev,3.06,1.78,-,"1,614",6.41,2,0,0,23%,55%,75%,31%,488,8,7,30,0.89,0,2,0.45,0.17,27.21,36.52,-,2.29,1.45,32,120.4km,1.12,60%,31,4.18,26,4,0.24,0,15,Bulgarian Third League South-West,41
- - -,Ama,Tsvetan Genkov,0.00,0.97,-,"3,330",6.48,10,0,0,0%,-,57%,35%,423,33,0,0,-,0,0,0.89,0.05,11.43,20.00,-,-,2.57,36,0.0km,-,69%,0,-,95,0,-,0,65,Bulgarian 'A' Regional Groups,37
- - -,Ama,Hristo Aleksandrov,0.00,1.11,-,"3,330",6.82,11,0,0,0%,-,58%,36%,426,27,0,0,-,0,0,0.73,0.08,11.51,20.00,-,-,2.00,41,0.0km,-,76%,0,-,74,0,-,0,31,Bulgarian 'A' Regional Groups,35
- - -,Ama,Georgi Stefanov,1.95,0.67,0.33,"3,501",6.92,11,0,0,31%,58%,65%,48%,725,42,14,44,0.82,3,2,1.08,0.10,18.64,28.87,-,0.93,2.26,26,99.8km,0.49,59%,16,1.59,88,4,0.43,0,13,Bulgarian Third League South-East,32
- - -,Ama,Vladimir Kaptiev,3.28,1.44,0.44,815,6.74,3,0,0,31%,36%,64%,57%,159,20,5,16,1.10,0,1,2.21,0.11,17.56,27.61,-,0.88,3.87,13,48.8km,1.66,65%,15,2.43,35,1,0.11,0,16,Bulgarian Third League South-West,33
- - -,Ama,Krasimir Georgiev,4.05,2.02,-,"1,026",6.59,5,0,0,28%,45%,65%,47%,215,16,9,32,0.44,0,0,1.40,0.09,18.86,29.12,-,1.58,2.98,23,61.5km,1.23,56%,27,3.51,34,2,0.19,0,25,Bulgarian Third League North-West,35
- - -,Ama,Tsvetomir Matev,0.00,0.81,-,"3,870",6.50,9,0,0,0%,-,57%,45%,491,53,0,0,-,0,0,1.23,0.16,11.42,20.00,-,-,2.74,35,0.0km,-,61%,0,-,118,0,-,0,35,Bulgarian Third League South-East,34
- - -,Ama,Ivan Chergev,6.19,1.97,-,"1,234",6.55,5,0,0,0%,58%,68%,47%,316,26,0,13,0.66,0,0,1.90,0.22,23.05,33.70,-,1.90,4.01,27,61.3km,1.17,41%,20,3.28,55,0,-,0,25,Bulgarian Third League South-East,34
- - -,Inj,Vasil Kaloyanov,6.00,0.94,0.46,"2,764",6.91,13,0,0,0%,61%,66%,48%,635,25,0,25,1.14,3,6,0.81,0.07,20.68,31.10,-,2.41,1.69,29,201.3km,0.91,62%,32,3.97,52,3,0.10,0,37,Bulgarian Third League South-West,32
- - -,,Bogdan Oprea,1.51,1.04,-,778,6.64,2,0,0,31%,38%,79%,45%,252,5,6,19,1.62,0,0,0.58,-,29.15,37.02,-,1.39,1.27,9,60.4km,1.16,69%,24,3.70,11,1,0.13,0,7,Romanian Third League Group 3,38
- - -,,Ovidiu Herea,3.56,1.65,-,"1,201",7.06,2,0,0,33%,43%,80%,26%,547,6,10,30,1.20,0,0,0.45,0.37,40.99,51.48,-,1.27,1.72,22,92.7km,3.22,58%,8,3.00,23,6,0.50,0,3,Romanian Second League,36
- - -,,Andrei Nilă,0.40,3.40,-,159,6.62,1,0,0,0%,67%,66%,86%,37,6,0,1,-,0,0,3.40,-,20.94,31.70,-,2.26,3.96,6,10.3km,1.70,55%,4,3.40,7,2,1.42,0,4,Romanian Third League Group 6,35
- - -,,Adrian Pătulea,2.39,0.74,-,"1,090",7.34,8,0,1,35%,59%,68%,93%,290,13,10,28,1.65,4,5,1.07,-,23.94,35.09,-,2.39,1.16,9,80.8km,2.31,60%,19,4.05,14,3,0.27,0,6,Romanian Third League Group 6,36
- - -,,Ovidiu Stoianof,3.81,0.73,-,989,7.03,6,2,2,0%,58%,68%,60%,255,18,0,11,1.64,1,2,1.64,0.27,23.21,34.22,-,2.28,2.73,8,68.8km,1.37,67%,16,3.91,30,5,1.51,0,23,Romanian Third League Group 10,35
- - -,Ama,Daniel Lungu,0.00,0.57,-,"3,792",5.76,6,0,0,0%,-,57%,32%,492,33,0,0,-,0,0,0.78,0.02,11.68,20.41,-,-,2.47,24,0.0km,-,65%,0,-,104,0,-,0,63,Romanian Fourth League Iaşi,39
- - -,Ama,Lucian Homorozan,0.00,1.14,-,"3,803",6.47,4,0,0,0%,-,57%,46%,489,61,0,0,-,0,0,1.44,0.07,11.57,20.35,-,-,3.12,48,0.0km,-,53%,0,-,132,0,-,0,29,Romanian Fourth League Satu Mare,36
- - -,,Raymond Lukács,4.06,0.97,0.13,"2,131",6.89,5,0,1,25%,58%,68%,62%,534,23,12,48,1.44,1,1,0.97,0.04,22.55,33.11,-,1.98,1.56,23,164.3km,1.10,47%,54,3.42,37,4,0.17,0,17,Hungarian Division II,32
- - -,,Mircea Axente,1.96,1.79,-,452,6.67,1,0,0,0%,69%,67%,35%,112,7,0,5,0.40,0,0,1.39,-,22.30,33.05,-,2.19,3.98,9,34.1km,1.39,56%,11,3.19,20,0,-,0,5,Romanian Second League,34
- - -,,Octavian Drăghici,5.33,0.99,-,"1,179",7.38,7,3,4,35%,54%,72%,63%,358,25,11,31,1.68,4,1,1.91,0.08,27.33,38.09,-,2.21,3.05,13,91.8km,2.75,59%,22,4.12,40,2,0.19,0,3,Romanian Third League Group 8,35
- - -,,Marco Enciu,1.75,1.98,-,683,6.91,2,0,0,38%,59%,67%,47%,167,7,7,18,1.32,0,0,0.92,0.40,22.01,32.94,-,2.11,1.98,15,46.2km,1.32,56%,17,3.56,15,3,0.89,0,3,Romanian Third League Group 1,33
- - -,,George Bîrlădeanu,2.26,1.30,-,"1,038",7.23,5,2,2,40%,40%,78%,43%,347,12,12,30,1.47,0,2,1.04,0.17,30.09,38.50,-,1.47,2.43,15,68.7km,3.55,71%,27,3.73,28,4,0.43,0,9,Romanian Third League Group 2,33
- - -,FrA,Blazej Vascak,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37
- - -,,Robert Zeher,0.00,0.97,-,"3,802",6.30,7,0,0,0%,-,57%,48%,488,57,0,0,-,0,0,1.35,0.17,11.55,20.36,-,-,2.84,41,0.0km,-,71%,0,-,120,0,-,0,67,Slovak Lower Division,36
- - -,,Milos Gibala,0.02,0.92,-,"3,712",6.55,10,0,0,33%,40%,58%,40%,508,48,1,3,0.05,0,0,1.16,0.15,12.32,21.12,-,0.05,2.89,38,7.4km,0.07,63%,2,0.12,119,0,-,0,49,Czech Fourth Division B,35
- - -,,Jan Novak,0.00,0.72,-,"3,870",6.68,13,2,3,0%,-,56%,44%,484,52,0,0,-,0,0,1.21,0.21,11.26,20.00,-,-,2.72,31,0.0km,-,72%,0,-,117,0,-,0,24,Slovak Lower Division,36
- - -,,Zoltán Harsányi,0.00,0.81,-,"3,790",6.91,14,0,0,0%,-,58%,53%,501,66,0,0,-,0,0,1.57,0.07,11.90,20.42,-,-,2.97,34,0.0km,-,57%,0,-,125,0,-,0,7,Hungarian Division III - West,33
- - -,Ama,Simon Korun,0.00,0.86,-,"3,150",6.21,8,0,0,0%,-,55%,33%,385,30,0,0,-,0,0,0.86,0.09,11.00,20.00,-,-,2.63,30,0.0km,-,60%,0,-,92,0,-,0,91,Slovenian Lower League,41
- - -,,Rok Petrič,0.80,1.84,-,879,6.79,2,0,0,35%,62%,69%,38%,199,10,5,14,0.92,1,1,1.02,-,20.38,29.69,-,2.15,2.66,18,35.4km,0.92,62%,11,3.48,26,1,0.11,0,13,Slovenian Third League East,38
- - -,Inj,Miran Bencik,0.00,0.94,-,"3,063",6.53,9,0,0,0%,-,58%,41%,406,39,0,0,-,0,0,1.15,0.06,11.93,20.57,-,-,2.82,32,0.0km,-,82%,0,-,96,0,-,0,52,Slovenian Lower League,35
- - -,Ama,Dražen Žeželj,0.00,0.77,-,"3,150",6.34,6,0,0,0%,-,57%,28%,398,30,0,0,-,0,0,0.86,0.14,11.37,20.00,-,-,3.03,27,0.0km,-,66%,0,-,106,0,-,0,68,Slovenian Lower League,45
- - -,Ama,Dejan Božičić,5.93,2.08,-,"1,734",6.72,3,0,0,32%,48%,72%,33%,589,15,20,61,0.99,2,0,0.78,0.05,30.57,42.30,-,1.61,2.34,40,116.7km,2.23,70%,35,3.37,45,3,0.18,0,14,Slovenian Lower League,37
- - -,Inj,Željko Grbić,0.00,0.66,-,"3,150",6.50,6,0,0,0%,-,55%,31%,385,20,0,0,-,0,0,0.57,0.06,11.00,20.00,-,-,1.86,23,0.0km,-,66%,0,-,65,0,-,0,32,Slovenian Lower League,38
- - -,,Goran Benović,1.14,2.53,-,853,6.70,2,0,0,31%,36%,70%,50%,249,7,11,35,0.84,0,0,0.74,0.42,26.27,37.46,-,1.27,1.48,24,52.0km,1.37,48%,28,3.48,14,1,0.54,0,15,Slovenian Third League West,43
- - -,Inj,Alen Rajković,0.00,0.69,-,"3,150",6.78,12,0,0,0%,-,58%,48%,405,45,0,0,-,0,0,1.29,0.11,11.57,20.00,-,-,2.66,24,0.0km,-,60%,0,-,93,0,-,0,29,Slovenian Lower League,34
- - -,,Jernej Repina,0.25,0.73,0.03,"2,722",6.41,4,0,0,40%,25%,60%,45%,373,41,2,5,0.07,0,0,1.36,0.20,12.33,20.70,-,0.03,3.01,22,7.8km,0.03,58%,5,0.13,91,0,-,0,41,Slovenian Third League East,38
- - -,Ama,Luka Kovačič,9.08,0.35,-,"3,091",7.21,18,7,7,36%,54%,66%,51%,674,38,32,88,1.60,5,12,1.11,0.03,19.62,29.82,-,2.45,2.15,12,206.0km,1.11,63%,57,4.57,74,5,0.20,0,16,Slovenian Lower League,38
- - -,Ama,Miha Zakrajšek,0.00,0.91,-,"3,150",6.65,1,0,0,0%,-,55%,42%,383,44,0,0,-,0,0,1.26,0.20,10.94,20.00,-,-,3.00,32,0.0km,-,53%,0,-,105,0,-,0,31,Slovenian Lower League,35
