Inf,Name,DrbPG,ShT/90,Shot %,Int/90,Tck R,ShT,Shots,Distance,Av Rat,Division,Fls,Gls,Pens,Tck W,Tck A,Shot/90,Ps C/90,Pas %,Ps A/90,Off,Mstks,Gl Mst,K Tck,K Ps/90,K Hdrs,Itc,Hdr %,Hdrs W/90,Drb,Dist/90,Cr C,Cr C/A,Cr A,Ch C/90,Pens S,Aer A/90,Asts/90,Mins,Birth City,Age
,Dawid Jablonski,1.50,0.43,29%,1.29,53%,2,7,15.7km,6.56,Polish Second Division,4,0,0,10,19,1.50,16.97,63%,27.06,9,0,0,0,-,0,6,71%,1.07,7,0.0km,0,0%,6,0.86,0,1.50,-,419,Plock,25
,Marcin Mirecki,-,1.27,52%,-,67%,53,101,0.0km,7.31,Polish Fourth Division,66,25,0,46,69,2.43,11.66,58%,20.19,0,0,0,0,-,0,0,-,-,0,0.0km,0,0%,0,-,0,-,0.10,"3,745",-,34
,Krystian Puton,3.37,0.87,49%,0.87,81%,33,67,262.8km,6.82,Polish Third Division Group 4,19,9,0,22,27,1.77,27.28,70%,38.88,98,1,1,0,0.18,3,33,57%,1.74,128,0.0km,52,35%,147,2.05,0,3.03,0.13,"3,414",Radom,27
,Eryk Wiedlocha,2.73,0.60,34%,0.83,51%,18,53,206.8km,6.81,Polish Second Division,19,5,0,28,55,1.77,18.93,66%,28.50,70,3,0,0,0.23,2,25,63%,2.20,82,0.0km,22,27%,81,3.09,0,3.50,0.10,"2,700",Warsaw,23
,Bartlomiej Smuczynski,2.55,0.73,46%,0.79,70%,24,52,196.5km,6.90,Polish Second Division,39,7,0,32,46,1.58,18.02,66%,27.29,49,3,0,0,0.27,5,26,59%,1.64,84,0.0km,32,32%,99,2.01,0,2.77,0.12,"2,962",-,24
,Wojciech Fadecki,1.84,0.63,41%,0.95,61%,26,64,275.3km,7.28,Polish Second Division,24,7,0,45,74,1.55,16.15,64%,25.31,28,3,0,3,0.68,5,39,65%,1.96,76,0.0km,55,33%,165,3.71,0,3.01,0.36,"3,712",-,26
,Kamil Graczyk,-,0.37,34%,-,86%,15,44,0.0km,7.24,Polish Fourth Division,56,1,0,42,49,1.07,13.76,69%,20.00,0,0,0,0,-,0,0,-,-,0,0.0km,0,0%,0,-,0,-,0.20,"3,690",Orneta,32
,Mateusz Lampart,1.71,0.87,47%,1.35,59%,31,66,198.8km,6.76,Polish Fourth Division,21,8,0,16,27,1.85,15.12,63%,24.01,79,0,0,0,0.20,2,48,34%,1.07,61,0.0km,28,31%,90,1.93,0,3.17,0.11,"3,209",Krakow,25
,Daniel Luczak,-,0.85,48%,-,63%,35,73,0.0km,7.40,Polish Fourth Division,49,2,0,43,68,1.78,13.80,69%,20.00,0,0,0,0,-,0,0,-,-,0,0.0km,0,0%,0,-,0,-,0.17,"3,690",Wroclaw,23
,Bartosz Nowotnik,1.86,0.66,46%,1.12,95%,26,57,318.3km,6.93,Polish Third Division Group 3,27,11,3,21,22,1.45,17.95,73%,24.71,47,8,0,0,0.74,15,44,67%,2.88,73,0.0km,32,34%,93,1.63,2,4.31,0.13,"3,530",Katowice,22
,Szczepan Kogut,1.20,1.50,63%,0.90,54%,5,8,15.1km,6.79,Polish Third Division Group 4,8,2,0,7,13,2.40,17.10,65%,26.40,2,0,0,0,0.30,0,3,50%,0.90,4,0.0km,0,0%,5,1.08,0,1.80,-,300,Tarnow,23
Inj,Patryk Paczuk,1.30,0.44,36%,2.58,57%,17,47,253.9km,6.99,Polish Second Division,21,5,0,43,75,1.22,19.51,66%,29.39,27,5,0,6,0.39,8,99,65%,2.60,50,0.0km,42,30%,136,2.69,0,3.98,0.18,"3,460",Swinoujscie,23
Inj,Jakub Bach,1.57,0.34,33%,1.23,57%,6,18,116.6km,6.72,Polish Third Division Group 2,19,1,0,32,56,1.01,15.01,61%,24.42,18,0,0,0,0.22,0,22,71%,1.96,28,0.0km,12,25%,47,2.09,0,2.74,0.17,"1,607",Lebork,22
,Piotr Kwasniewski,0.91,0.29,24%,1.32,63%,12,51,253.1km,6.63,Polish Third Division Group 3,2,0,0,54,86,1.25,16.76,68%,24.75,0,19,0,4,0.25,9,54,69%,2.50,37,0.0km,41,35%,114,1.36,0,3.60,0.05,"3,673",Gliwice,23
Inj,Damian Oczko,1.14,0.20,27%,0.94,61%,6,22,158.3km,6.81,Polish Fourth Division,60,3,0,19,31,0.74,19.56,69%,28.35,51,1,0,1,0.61,7,28,65%,2.79,34,0.0km,30,37%,81,1.45,0,4.28,0.27,"2,673",Kety,22
,Szymon Kiebzak,2.08,0.78,33%,0.78,56%,6,18,33.5km,6.89,Polish Second Division,13,0,0,18,32,2.34,17.79,67%,26.75,8,1,0,0,0.39,0,6,73%,1.43,16,0.0km,5,31%,16,0.91,0,1.95,0.39,693,Myslenice,23
,Kamil Rokita,-,0.37,35%,-,78%,11,31,0.0km,7.15,Polish Fourth Division,13,3,0,29,37,1.03,14.00,70%,20.00,0,0,0,0,-,0,0,-,-,0,0.0km,0,0%,0,-,0,-,0.30,"2,700",Debica,22
,Damian Szczepanski,1.47,0.60,35%,1.34,51%,13,37,134.8km,6.77,Polish Third Division Group 1,41,7,0,30,59,1.71,21.75,68%,31.94,29,4,0,0,0.09,2,29,39%,1.29,32,0.0km,31,31%,97,1.97,0,3.32,0.05,"1,953",Plock,23
,Krzysztof Mozdzonek,2.79,0.94,45%,1.75,64%,28,62,185.2km,6.99,Polish Third Division Group 1,68,6,0,30,47,2.08,21.98,64%,34.25,79,1,0,0,0.87,2,52,45%,1.31,83,0.0km,33,31%,104,5.33,0,2.92,0.24,"2,678",Warsaw,23
,Patryk Cheba,1.19,0.14,33%,3.04,72%,5,15,221.2km,6.96,Polish Third Division Group 4,65,2,0,97,134,0.43,17.80,65%,27.35,7,7,0,16,0.43,13,107,65%,3.47,42,0.0km,45,36%,122,2.43,0,5.37,0.11,"3,166",Ilza,23
,Mariusz Weglinski,1.84,0.87,45%,0.99,27%,35,77,222.0km,6.95,Polish Third Division Group 2,0,12,0,3,11,1.91,14.74,63%,23.29,61,0,0,0,0.40,4,40,32%,0.87,74,0.0km,32,35%,89,2.87,0,2.73,0.12,"3,621",-,28
,Vinícius Ferreira,2.93,0.82,34%,0.96,54%,17,50,124.6km,7.02,Polish Fourth Division,26,8,0,13,24,2.41,26.70,64%,41.61,43,0,0,0,0.05,2,20,45%,1.68,61,0.0km,29,34%,83,1.73,0,3.75,0.05,"1,871",-,21
,Slawomir Musiolik,2.93,0.56,32%,1.74,62%,15,47,140.6km,6.96,Polish Fourth Division,36,5,0,32,52,1.74,22.64,66%,34.18,52,0,0,0,0.11,2,47,59%,1.56,79,0.0km,33,35%,92,2.83,0,2.64,0.04,"2,425",Rybnik,23
Wnt,Karol Zmijewski,1.95,0.15,33%,0.97,49%,4,12,179.2km,6.89,Polish Third Division Group 3,32,2,0,24,49,0.45,18.23,66%,27.44,22,1,0,3,0.37,3,26,66%,1.72,52,0.0km,36,34%,104,1.09,0,2.62,0.15,"2,404",Bydgoszcz,23
Inj,Przemyslaw Macierzynski,2.11,0.15,20%,1.08,55%,3,15,124.4km,6.83,Polish Third Division Group 3,13,1,0,18,33,0.77,13.51,61%,22.33,17,0,0,6,0.46,7,21,51%,2.06,41,0.0km,21,32%,65,0.41,0,4.07,0.10,"1,745",Lubsko,21
,Oskar Rynkowski,2.73,1.03,38%,1.33,43%,14,37,90.5km,6.79,Polish Third Division Group 1,16,5,0,15,35,2.73,15.74,61%,25.94,24,0,0,0,0.37,0,18,44%,1.40,37,0.0km,8,25%,32,0.63,0,3.18,0.22,"1,218",Elblag,20
,Adrian Machol,3.11,0.47,25%,1.21,74%,9,36,120.8km,6.85,Polish Third Division Group 2,16,2,0,14,19,1.90,17.82,67%,26.57,63,2,0,0,0.47,4,23,60%,2.95,59,0.0km,16,37%,43,1.11,0,4.96,0.11,"1,707",Gdansk,21
,Bartlomiej Purcha,3.11,0.70,37%,1.05,59%,22,59,204.1km,7.00,Polish Third Division Group 4,21,10,0,32,54,1.87,21.64,66%,32.77,66,2,0,0,0.54,2,33,51%,1.33,98,0.0km,44,29%,148,3.00,0,2.60,0.29,"2,840",Krosno,22
,Mateusz Czaplygin,2.91,0.57,48%,1.67,60%,13,27,140.6km,6.86,Polish Third Division Group 2,19,7,1,25,42,1.19,20.13,66%,30.35,61,2,0,0,0.40,2,38,50%,1.06,66,0.0km,24,28%,84,1.33,1,2.11,0.13,"2,043",-,23
,Mathieu Scalet,2.98,0.53,24%,0.96,76%,10,41,145.9km,6.64,Polish Third Division Group 3,15,3,0,26,34,2.18,18.86,70%,26.78,28,8,0,0,0.27,1,18,62%,1.97,56,0.0km,16,22%,71,0.74,0,3.19,0.05,"1,694",Annemasse,23
Inj,Sebastian Paczko,2.36,0.70,50%,0.95,59%,25,50,218.7km,6.94,Polish Third Division Group 3,21,9,0,19,32,1.40,14.65,62%,23.71,102,2,1,0,0.25,5,34,65%,1.88,84,0.0km,36,34%,105,1.71,0,2.89,0.08,"3,207",Zabrze,27
,Marcin Kluska,1.97,0.48,37%,1.23,88%,19,51,276.7km,7.03,Polish Second Division,2,7,2,15,17,1.30,17.56,66%,26.57,84,1,0,0,0.51,8,48,69%,2.37,77,0.0km,44,34%,129,2.51,1,3.45,0.15,"3,526",Lukow,24
Wnt,Jakub Klosowski,2.10,0.41,40%,1.02,47%,6,15,76.0km,6.97,Polish Fourth Division,7,4,0,9,19,1.02,14.15,64%,22.14,26,1,0,0,0.27,1,15,60%,1.76,31,0.0km,13,36%,36,0.68,0,2.91,0.07,"1,329",Poznan,22
,Piotr Marciniec,1.07,0.48,42%,0.99,60%,19,45,266.3km,6.80,Polish Second Division,51,4,0,39,65,1.15,18.39,69%,26.59,52,2,0,2,0.46,7,39,66%,3.01,42,0.0km,51,34%,146,3.61,0,4.53,0.13,"3,534",Rzeszow,23
,Mateusz Wanat,-,1.59,50%,-,79%,65,131,0.0km,7.48,Polish Fourth Division,35,17,0,41,52,3.20,12.54,63%,20.00,0,0,0,0,-,0,0,-,-,0,0.0km,0,0%,0,-,0,-,0.22,"3,690",Przemysl,29
,Dawid Plizga,2.61,0.58,33%,1.92,63%,16,48,165.8km,6.88,Polish Third Division Group 3,23,3,0,19,30,1.74,28.99,73%,39.49,57,1,0,0,0.72,1,53,63%,2.14,72,0.0km,25,28%,87,3.28,0,3.37,0.18,"2,484",Ruda Slaska,34
,Piotr Zmorzynski,2.62,0.69,46%,0.97,65%,17,37,184.2km,6.84,Polish Second Division,29,6,0,15,23,1.49,16.77,66%,25.40,63,0,0,0,0.48,7,24,46%,1.25,65,0.0km,29,27%,104,1.27,0,2.74,0.12,"2,232",Parczew,25
,Lukasz Gozdziejewski,-,0.35,33%,-,79%,14,42,0.0km,7.54,Polish Fourth Division,48,4,0,42,53,1.04,14.27,70%,20.38,0,0,0,0,-,0,0,-,-,0,0.0km,0,0%,0,-,0,-,0.15,"3,621",-,23
,Tomasz Podgorski,0.76,0.26,29%,2.77,60%,8,28,192.5km,6.78,Polish Third Division Group 3,34,1,0,44,73,0.92,18.78,69%,27.29,51,0,0,1,0.59,4,84,67%,2.31,23,0.0km,40,32%,123,2.99,0,3.47,0.07,"2,727",Gliwice,34
,Patryk Zaucha,2.04,0.35,36%,1.13,71%,5,14,78.7km,6.93,Polish Fourth Division,10,3,0,17,24,0.99,17.10,64%,26.88,35,0,0,0,0.21,3,16,72%,1.62,29,0.0km,12,33%,36,0.35,0,2.25,0.14,"1,279",Tarnow,20
Bid,Aleksander Gabryel,2.32,0.80,60%,0.86,78%,12,20,144.2km,6.58,Polish Fourth Division,24,2,0,18,23,1.33,20.29,72%,28.19,31,9,0,1,0.60,4,13,48%,2.72,35,0.0km,11,11%,95,0.20,0,5.64,0.07,"1,357",Gdansk,21
,Patryk Biesiadzinski,-,1.07,46%,-,58%,44,95,0.0km,6.98,Polish Fourth Division,45,11,0,53,92,2.32,11.95,60%,20.00,0,0,0,0,-,0,0,-,-,0,0.0km,0,0%,0,-,0,-,0.22,"3,690",-,20
,Pawel Tupaj,1.37,0.39,48%,0.98,39%,11,23,176.4km,6.64,Polish Second Division,45,3,0,14,36,0.81,11.70,59%,19.76,31,0,0,3,0.35,7,28,37%,1.26,39,0.0km,15,24%,61,0.39,0,3.40,-,"2,569",Chodziez,20
,Piotr Cwielong,-,0.73,38%,-,79%,11,29,0.0km,6.93,Polish Fourth Division,26,1,0,19,24,1.93,13.73,69%,20.00,0,0,0,0,-,0,0,-,-,0,0.0km,0,0%,0,-,0,-,0.07,"1,350",Chorzow,34
,Mateusz Kompanicki,1.54,1.01,63%,0.68,46%,34,54,186.0km,7.06,Polish Second Division,10,14,0,19,41,1.60,13.99,62%,22.54,45,4,0,0,0.21,3,23,40%,1.46,52,0.0km,42,36%,116,1.69,0,3.59,0.09,"3,030",-,23
,Damian Swierblewski,2.32,0.76,36%,1.62,58%,24,66,202.2km,6.91,Polish Fourth Division,20,12,2,23,40,2.10,18.18,64%,28.29,66,0,0,0,0.29,4,51,56%,2.23,73,0.0km,36,33%,106,3.49,1,4.01,0.16,"2,831",Bydgoszcz,36
,Grzegorz Domzalski,-,0.47,41%,-,77%,19,46,0.0km,6.62,Polish Fourth Division,50,1,0,33,43,1.15,13.97,68%,20.41,0,0,0,0,-,0,0,-,-,0,0.0km,0,0%,0,-,0,-,0.15,"3,615",Lubawa,36
,Lukasz Janoszka,1.52,0.95,39%,2.57,45%,36,93,242.2km,7.10,Polish Third Division Group 3,12,12,1,14,31,2.44,21.04,69%,30.39,47,0,0,1,0.37,7,98,53%,2.73,58,0.0km,40,36%,111,2.82,1,5.15,0.11,"3,426",Bytom,33
Loa,Dariusz Zaba,1.58,0.56,44%,1.12,74%,11,25,120.7km,6.75,Polish Fourth Division,9,3,0,17,23,1.28,23.76,71%,33.48,47,0,0,0,0.56,1,22,67%,2.04,31,0.0km,20,31%,63,0.56,0,3.07,0.20,"1,761",Tarnow,21
,Mariusz Wierzbowski,3.24,0.34,40%,1.11,59%,10,25,185.5km,6.71,Polish Third Division Group 1,25,2,0,17,29,0.84,15.55,64%,24.22,87,2,0,0,0.34,6,33,62%,2.26,96,0.0km,31,26%,119,2.38,0,3.64,0.07,"2,668",Ostroleka,22
,Bartosz Pikul,2.38,0.57,36%,0.71,52%,19,53,185.6km,6.85,Polish Fourth Division,39,12,0,24,46,1.58,14.99,61%,24.42,62,0,0,1,0.09,2,24,52%,1.61,80,0.0km,31,31%,99,1.09,0,3.06,0.09,"3,026",Tarnowskie Gory,22
,Rafal Surmiak,0.81,0.00,0%,-,100%,0,2,2.7km,5.80,Polish Second Division,1,0,0,3,3,1.62,19.46,71%,27.57,1,0,0,0,-,0,0,-,-,1,0.0km,1,100%,1,-,0,-,-,111,Rzeszow,24
Wnt,Michal Daniel,-,0.43,31%,-,73%,18,59,0.0km,7.22,Polish Fourth Division,15,5,0,40,55,1.40,14.10,70%,20.00,0,0,0,0,-,0,0,-,-,0,0.0km,0,0%,0,-,0,-,0.19,"3,780",Rzeszow,22
,Pawel Kaczmarek,1.44,0.51,41%,2.63,67%,19,46,256.1km,6.87,Polish Third Division Group 4,38,7,1,40,60,1.25,20.30,68%,29.70,53,4,0,1,0.57,4,97,69%,2.47,53,0.0km,51,34%,146,3.05,1,3.58,0.16,"3,321",Zlotow,34
,Kamil Sloma,1.90,0.32,18%,1.27,71%,3,17,58.7km,6.80,Polish Second Division,15,1,0,27,38,1.80,26.09,74%,35.49,26,0,0,0,0.11,0,12,66%,3.27,18,0.0km,13,39%,33,0.53,0,4.96,0.11,852,Rzeszow,21
,Arkadiusz Gil,-,0.46,42%,-,78%,19,45,0.0km,7.55,Polish Fourth Division,34,2,0,47,60,1.10,13.73,69%,20.00,0,0,0,0,-,0,0,-,-,0,0.0km,0,0%,0,-,0,-,0.27,"3,690",Rzeszow,23
,Mateusz Surozynski,-,1.37,53%,-,66%,56,106,0.0km,7.45,Polish Fourth Division,37,11,0,35,53,2.59,11.78,59%,20.00,0,0,0,0,-,0,0,-,-,0,0.0km,0,0%,0,-,0,-,0.17,"3,690",Polkowice,23
,Serhii Krykun,2.72,0.59,32%,0.93,73%,22,69,256.1km,6.88,Polish Second Division,41,5,0,29,40,1.84,23.27,71%,32.67,73,0,0,0,0.24,1,35,61%,2.00,102,0.0km,26,28%,90,1.72,0,3.29,0.05,"3,369",-,23
,Eryk Agnyziak,1.78,0.58,52%,1.15,58%,11,21,111.8km,6.68,Polish Fourth Division,12,3,0,26,45,1.10,14.43,61%,23.69,47,0,0,0,0.21,1,22,56%,1.31,34,0.0km,21,30%,69,1.78,0,2.35,-,"1,721",Warsaw,20
,Kamil Orlik,0.66,0.00,0%,1.82,55%,0,2,39.8km,6.64,Polish Third Division Group 1,5,0,0,6,11,0.33,20.31,69%,29.23,4,0,0,0,0.33,1,11,62%,2.64,4,0.0km,6,35%,17,0.50,0,4.29,0.33,545,Tarnow,20
,Sebastian Obara,2.81,0.86,36%,0.86,37%,4,11,26.2km,6.36,Polish Third Division Group 3,6,0,0,7,19,2.37,15.11,58%,26.12,11,0,0,0,-,0,4,0%,0.00,13,0.0km,0,0%,8,-,0,2.59,-,417,-,21
Inj,Dominik Budzik,1.04,0.69,40%,0.35,57%,2,5,6.0km,6.98,Polish Third Division Group 3,1,0,0,4,7,1.74,13.90,66%,21.20,4,0,0,0,-,0,1,100%,0.35,3,0.0km,1,25%,4,0.69,0,0.35,0.35,259,Gliwice,23
,Dawid Stypa,-,1.46,52%,-,79%,60,116,0.0km,6.98,Polish Fourth Division,40,15,0,23,29,2.83,11.46,57%,20.00,0,0,0,0,-,0,0,-,-,0,0.0km,0,0%,0,-,0,-,0.12,"3,690",-,21
,Mateusz Palach,0.71,0.31,38%,1.02,59%,3,8,67.1km,6.30,Polish Fourth Division,14,1,0,10,17,0.81,15.17,64%,23.72,8,3,0,0,0.10,4,10,46%,1.63,7,0.0km,8,33%,24,-,0,3.56,-,884,-,21
Wnt,Patryk Ostrowski,2.72,0.58,29%,0.78,75%,6,21,66.7km,6.73,Polish Third Division Group 3,22,1,0,9,12,2.04,16.60,66%,25.24,28,2,0,0,0.10,1,8,63%,2.33,28,0.0km,8,29%,27,0.87,0,3.69,-,927,-,19
Wnt,Henrik Ojamaa,2.90,0.98,47%,1.87,79%,34,73,275.4km,7.13,Polish Second Division,28,8,0,26,33,2.10,26.17,67%,38.97,48,8,1,1,0.49,7,65,57%,2.30,101,0.0km,38,30%,125,2.36,0,4.02,0.17,"3,136",Tallinn,29
,Jakub Karbownik,1.68,0.00,0%,0.93,55%,0,9,103.1km,6.57,Polish Second Division,16,0,0,22,40,0.52,18.94,68%,27.97,12,0,0,4,0.17,2,16,51%,1.27,29,0.0km,16,32%,50,0.81,0,2.49,0.12,"1,554",Belchatow,19
Wnt,Tomasz Zylinski,-,1.24,49%,-,60%,52,106,0.0km,7.34,Polish Fourth Division,45,14,0,34,57,2.52,11.93,60%,20.00,0,0,0,0,-,0,0,-,-,0,0.0km,0,0%,0,-,0,-,0.19,"3,780",Bydgoszcz,21
,Kamil Sikora,-,0.34,39%,-,84%,14,36,0.0km,7.31,Polish Fourth Division,51,2,0,46,55,0.88,14.22,71%,20.00,0,0,0,0,-,0,0,-,-,0,0.0km,0,0%,0,-,0,-,0.15,"3,690",Gdansk,19
,Kacper Michnicki,-,0.49,34%,-,78%,20,59,0.0km,7.33,Polish Fourth Division,36,3,0,39,50,1.44,14.27,71%,20.00,0,0,0,0,-,0,0,-,-,0,0.0km,0,0%,0,-,0,-,0.15,"3,690",Czestochowa,20
,Roland Emeka John,-,1.32,50%,-,61%,54,108,0.0km,7.21,Polish Fourth Division,60,6,0,36,59,2.63,11.51,58%,20.00,0,0,0,0,-,0,0,-,-,0,0.0km,0,0%,0,-,0,-,0.15,"3,690",-,32
,Filip Zagiel,3.10,0.75,51%,1.35,54%,26,51,240.4km,6.84,Polish Third Division Group 3,24,7,0,19,35,1.46,16.58,63%,26.48,109,1,0,0,0.29,1,47,62%,1.23,108,0.0km,47,36%,130,1.30,0,1.98,0.06,"3,137",-,21
,Danian Pavlas,1.74,0.53,42%,1.07,71%,8,19,89.1km,6.76,Polish Second Division,16,2,0,24,34,1.27,17.89,65%,27.64,12,0,0,1,0.13,0,16,68%,1.40,26,0.0km,13,34%,38,0.93,0,2.07,0.07,"1,348",Magnitogorsk,19
,Szymon Cukier,-,0.46,49%,-,84%,19,39,0.0km,7.10,Polish Fourth Division,63,4,0,37,44,0.95,13.76,69%,20.00,0,0,0,0,-,0,0,-,-,0,0.0km,0,0%,0,-,0,-,0.20,"3,690",Kamienna Gora,20
,Dawid Jarka,1.98,0.90,47%,1.71,71%,33,70,223.2km,7.10,Polish Third Division Group 3,40,10,0,10,14,1.90,14.59,61%,23.75,61,0,0,0,0.46,5,63,51%,2.20,73,0.0km,42,33%,124,3.01,0,4.35,0.19,"3,312",Swierklaniec,32
,Mateusz Lisowski,1.67,0.33,18%,1.92,50%,4,22,74.4km,6.98,Polish Third Division Group 3,5,2,0,14,28,1.84,20.58,66%,31.37,11,2,0,1,0.92,1,23,55%,1.34,20,0.0km,11,28%,39,1.25,0,2.43,0.33,"1,076",Zagan,19
,Szymon Rychlowski,-,1.06,44%,-,66%,43,98,0.0km,7.31,Polish Fourth Division,46,19,0,46,70,2.41,12.20,60%,20.17,0,0,0,0,-,0,0,-,-,0,0.0km,0,0%,0,-,0,-,0.05,"3,658",-,28
,Bartlomiej Ciepiela,2.25,2.25,100%,1.12,-,2,2,8.1km,6.60,Polish Second Division,2,0,0,-,0,2.25,18.00,73%,24.75,2,0,0,0,-,0,1,100%,3.37,2,0.0km,0,0%,2,-,0,3.37,-,80,Debica,19
,Michal Walczuk,-,0.92,38%,-,85%,37,98,0.0km,6.92,Polish Fourth Division,15,7,0,44,52,2.44,12.10,59%,20.45,0,0,0,0,-,0,0,-,-,0,0.0km,0,0%,0,-,0,-,0.12,"3,608",Bielsk Podlaski,22
Wnt,Grzegorz Gawle,3.41,1.03,41%,2.43,63%,19,46,110.6km,7.07,Polish Fourth Division,9,5,0,15,24,2.49,17.79,66%,26.99,28,2,0,0,0.32,3,45,60%,1.84,63,0.0km,13,30%,42,0.81,0,3.08,0.22,"1,664",Sanok,22
,Mohamed Medfai,2.93,0.89,48%,1.42,86%,10,21,146.1km,6.55,Polish First Division,24,1,0,31,36,1.87,20.88,73%,28.52,2,18,0,0,0.53,11,16,57%,4.62,33,0.0km,9,13%,65,0.28,0,8.17,-,"1,013",-,19
,Denis Gojko,2.96,0.64,45%,1.46,87%,20,44,394.4km,6.76,Polish First Division,64,4,1,119,137,1.40,30.75,79%,38.77,5,82,0,2,0.70,14,46,53%,2.99,93,0.0km,40,11%,362,1.06,1,5.66,0.16,"2,830",Gliwice,22
,Mariusz Rybicki,1.43,0.69,37%,0.87,94%,15,41,282.1km,6.69,Polish First Division,17,2,0,31,33,1.89,30.20,84%,35.82,6,29,1,0,0.51,5,19,42%,1.20,31,0.0km,9,16%,56,0.14,0,2.85,0.09,"1,955",Lodz,27
Wnt,Sebastian Jarosz,2.07,1.03,33%,1.03,100%,1,3,13.4km,6.60,Polish First Division,2,0,0,4,4,3.10,32.07,82%,39.31,0,2,0,0,1.03,1,1,100%,2.07,2,0.0km,0,0%,1,-,0,2.07,-,87,Poznan,20
,Aleksander Jagiello,3.55,0.89,61%,0.77,91%,22,36,322.0km,6.99,Polish First Division,19,5,0,41,45,1.45,27.96,79%,35.26,23,44,0,0,0.73,8,19,37%,1.98,88,0.0km,74,22%,322,0.44,0,5.32,0.28,"2,231",Warsaw,25
,Mateusz Marzec,1.83,0.97,46%,1.13,86%,25,54,334.6km,6.79,Polish First Division,24,7,0,25,29,2.11,27.80,88%,31.74,3,16,0,0,0.47,15,29,52%,1.95,47,0.0km,14,16%,85,0.45,0,3.74,0.12,"2,308",Ozimek,25
,Lukasz Moneta,2.62,1.10,51%,0.86,74%,23,45,271.6km,6.66,Polish First Division,23,4,0,48,65,2.14,26.44,81%,32.54,3,46,1,2,0.52,11,18,39%,2.38,55,0.0km,30,15%,199,0.25,0,6.15,0.14,"1,889",Raciborz,26
,Milosz Kozak,-,-,0%,-,100%,0,1,2.0km,-,Polish First Division,0,0,0,1,1,-,-,50%,-,0,0,0,0,-,0,0,-,-,0,-,0,0%,0,-,0,-,-,11,Gostyn,23
Inj,Adam Banasiak,2.90,0.84,48%,0.95,84%,16,33,245.9km,6.59,Polish First Division,53,3,0,89,106,1.74,32.92,80%,41.04,3,66,1,0,0.53,8,18,64%,3.59,55,0.0km,18,14%,123,0.06,0,5.64,-,"1,706",Tomaszow Mazowiecki,30
,Andreja Prokic,3.26,1.18,55%,0.68,85%,33,60,345.6km,6.84,Polish First Division,29,7,0,35,41,2.15,22.85,83%,27.69,8,48,0,0,0.39,24,19,46%,3.37,91,0.0km,13,9%,138,0.26,0,7.32,0.07,"2,509",Kragujevac,31
Wnt,Maciej Sliwa,2.73,0.00,0%,2.73,100%,0,2,14.8km,6.57,Polish First Division,0,0,0,1,1,1.82,34.55,86%,40.00,1,0,0,0,-,1,3,50%,1.82,3,0.0km,2,33%,6,-,0,3.64,-,99,Starachowice,19
Wnt,Sebastian Olszewski,2.00,-,-,1.00,100%,-,0,13.1km,7.00,Polish First Division,1,0,0,3,3,-,22.00,63%,35.00,1,3,0,0,2.00,0,1,80%,4.00,2,0.0km,2,50%,4,1.00,0,5.00,2.00,90,-,18
,Michal Sacharuk,2.18,2.18,75%,0.73,100%,3,4,18.6km,6.57,Polish First Division,0,1,0,2,2,2.90,24.68,63%,39.19,0,2,0,0,-,0,1,33%,1.45,3,0.0km,1,14%,7,-,0,4.35,-,124,Torun,20
,Bartlomiej Eizenchart,2.14,0.00,0%,2.14,80%,0,1,11.2km,6.50,Polish First Division,3,0,0,4,5,1.07,32.14,75%,42.86,0,0,0,1,-,0,2,0%,0.00,2,0.0km,1,20%,5,-,0,4.29,-,84,Leczyca,18
,Michal Jakobowski,2.32,0.73,45%,0.86,82%,22,49,387.1km,6.76,Polish First Division,51,3,0,74,90,1.63,23.60,79%,29.87,2,57,1,0,0.83,16,26,41%,2.52,70,0.0km,76,24%,306,1.69,0,6.14,0.27,"2,712",Radziejow,27
,Bartlomiej Dudzic,2.50,0.80,36%,1.10,75%,8,22,127.5km,6.64,Polish First Division,11,0,0,30,40,2.20,32.26,81%,39.96,9,34,1,0,0.90,16,11,54%,5.09,25,0.0km,7,8%,87,0.50,0,9.39,0.30,901,Oswiecim,31
Wnt,Kellechukwu Ebenezer,1.36,2.05,60%,1.70,82%,6,10,36.7km,6.80,Polish First Division,8,1,0,9,11,3.41,30.34,77%,39.20,0,2,0,0,0.68,8,5,77%,6.82,4,0.0km,3,14%,21,-,0,8.86,0.34,264,Lagos,18
,Piotr Janczukowicz,1.47,0.00,0%,0.98,71%,0,3,28.0km,6.55,Polish First Division,2,0,0,5,7,1.47,23.48,70%,33.75,2,5,0,0,0.49,0,2,44%,3.42,3,0.0km,1,12%,8,-,0,7.83,-,184,Slupsk,20
,Koki Hinokio,2.73,-,-,-,100%,-,0,5.3km,6.80,Polish First Division,1,0,0,1,1,-,-,95%,-,0,0,0,0,-,0,0,0%,-,1,-,2,25%,8,-,0,-,-,33,-,19
,Damian Michalak,3.87,0.46,40%,1.37,80%,2,5,61.4km,6.73,Polish First Division,10,1,0,8,10,1.14,21.65,77%,28.03,3,6,0,0,0.46,0,6,30%,1.59,17,0.0km,14,14%,95,0.23,0,5.24,0.23,395,-,19
Inj,Bruno Waclawek,2.65,-,-,-,100%,-,0,5.1km,6.70,Polish First Division,0,0,0,1,1,-,-,83%,-,0,0,0,0,-,0,0,33%,-,1,-,1,33%,3,-,0,-,-,34,Lublin,18
